文献	35
文献号	23
原文	23
出处	25
首都	3
师范	6
大学	21
首都师范大学	3
学报	7
社科	5
版	19
原	107
刊	65
地名	19
京	7
期	38
号	48
页	95
分类	51
分类号	23
名	29
文艺	211
理论	183
文艺理论	17
作者	129
刘	10
锡	1
诚	4
复印	27
期号	23
标题	23
原始	208
艺术	2112
发生	48
特点	67
正文	24
摘要	4
社会	360
原始社会	16
生活	177
萌生	1
发展	215
土壤	8
诗歌	31
伴随	4
劳动	21
产生	95
最初	7
阶段	48
音乐	147
互相	18
紧密	11
联系	74
紧密联系	3
三位	5
一体	18
人类	170
石头	6
陶器	9
骨	5
牙	2
器	6
物质	28
依托	4
创造	210
绘画	45
雕塑	22
初期	7
宗教	53
巫术	23
关	12
系	8
密切	28
原始人	28
信仰	33
宗教信仰	7
中	778
图腾	27
带有	17
普遍	50
普遍性	9
影响	131
带	6
神话	91
远	14
古人	10
古人类	3
表现	262
行为	34
道德	52
规范	34
范化	4
规范化	4
意义	169
心理	103
冲动	11
导致	32
歌舞	7
先民	16
意识	154
成熟	27
起来	54
便	70
单纯	20
自娱	9
性质	31
进入	31
娱人	3
关键	21
关键词	6
洞穴	14
壁画	12
自娱娱人	1
萌发	1
生长	4
肥沃	2
了解	29
结构	74
生产	82
水平	29
方式	99
思想	134
真正	45
发展史	3
一个	289
极其	11
漫长	9
时代	124
这一	68
考古	15
古学	9
考古学	9
文化	562
分期	2
石器	24
旧石器	8
新石器	9
相对	55
应	43
民族	130
民族学	3
划分	8
大致	3
蒙昧	4
野蛮	4
生产力	11
青铜	2
青铜时代	1
更加	36
高级	6
奴隶	5
奴隶社会	2
历史	238
途程	1
黑暗	2
摸索	1
前进	6
非常	27
低下	4
缓慢	3
过着	1
穴居	1
居野	1
穴居野处	1
茹	1
毛	7
饮血	1
周口	2
周口店	2
发掘	12
材料	18
证明	26
北京	12
猿人	3
北京猿人	1
盛行	2
食人	4
之风	5
年	131
村旁	1
山洞	1
里	68
解剖	5
学家	55
解剖学	3
解剖学家	1
戴维	1
森	2
莱克	1
布莱克	1
发现	63
一块	2
化石	1
头盖	1
头盖骨	1
砸开	2
可能	130
取食	2
脑髓	1
腿骨	1
髓	1
人类学	41
人类学家	8
推测	5
万年	7
以前	10
食人者	1
肯	2
瑞德	1
洛伦	2
洛伦兹	1
说	224
第一	47
第一个	5
学会	7
保存	3
火种	1
普罗	1
普罗米	1
米修斯	1
普罗米修斯	1
用火来	1
烧烤	1
兄弟	6
最早	14
日常	17
用火	1
痕迹	5
旁	3
残缺	2
残缺不全	1
烤	1
中国	242
种	20
骨头	1
用手	2
制造	4
使用	13
简单	38
粗糙	5
骨器	2
木器	2
工具	12
生产工具	2
经济	73
前提	15
知道	7
只能	22
狩猎	23
为生	2
采集	4
辅助	1
恩格	17
格斯	18
恩格斯	17
家庭	7
私有	2
私有制	2
国家	27
起源	11
书	75
曾经	23
专靠	1
狩	1
猎	2
部落	18
书本	1
出现	58
打猎	1
维持	8
可靠	5
事实	47
正是如此	1
属于	23
低级	10
成员	9
获得	55
动物	51
肉	1
吃	6
植物	6
根	2
块茎	1
鱼类	2
软体	1
软体动物	1
生存	30
相适	3
适应	12
相适应	3
群居	1
后来	27
渐	3
进化	11
母系	1
中心	57
氏族	14
氏族社会	4
春秋	12
吕氏春秋	3
特君览	1
昔	7
太古	1
尝无君	1
其民聚生	1
群处	1
知母	1
不知	16
其父	1
亲戚	1
夫妻	1
男女	4
之别	3
一种	361
肚子	1
吃不饱	1
存在	127
一点	34
不用	7
怀疑	11
得到	50
旧石器时代	7
新石器时	1
代	7
远古	6
古文	6
古文化	1
远古文化	1
遗存	4
证实	12
当今	6
今世	1
世界	157
当今世界	1
现存	7
美国	33
弗朗兹	1
博厄斯	3
所知	2
艰难	5
不会	23
时间	50
精力	7
用于	6
食宿	1
条件	44
丰实	2
完全	35
终日	2
无所	14
事事	2
无所事事	1
贫穷	2
会	109
出	118
工艺	2
艺品	1
工艺品	1
从中	10
美的	23
享受	5
自然	211
资源	4
自然资源	1
丰富	83
充裕	1
用以	7
优美	8
作品	379
欧洲	28
已经	63
范围	19
相当	58
广泛	23
集中	10
地区	15
阿斯	2
图里	1
亚斯	1
里亚斯	1
阿斯图里亚斯	1
坎	1
塔布	1
连山	1
巴斯	3
巴斯克	1
比利	2
比利牛斯	1
山	9
法国	32
西南	3
南部	2
西南部	1
中央	7
高原	1
大西	1
西洋	3
大西洋	1
直至	6
瓦尔	2
卢瓦尔	1
高地	1
比利时	1
德国	18
瑞士	1
斯山	1
阿尔卑	1
卑斯山	1
阿尔卑斯山	1
汝拉山	1
马	14
格德	1
德林	1
格德林	1
后期	16
资料	11
我国	48
没有	127
这类	20
大型	4
晚期	3
人工	3
磨制	3
刻画	9
骨雕	1
山西	2
朔县	1
峙	1
峪	1
出上	1
钻孔	2
串联	2
饰物	1
山顶	3
山顶洞	2
山顶洞人	2
认为	110
主要	90
依靠	7
公认	9
最低	2
塔斯	1
玛	2
尼亚	2
草房	1
房子	5
草房子	1
何物	2
年前	2
安得	1
内安得	1
塔尔	2
高明	6
灭绝	2
常常	18
举	2
行	11
狂欢	2
舞会	1
解放	10
解放前	2
苦聪人	1
母权	1
权制	1
母权制	1
残余	1
猎到	1
大兽	1
马鹿	1
时	164
全	16
家族	7
公社	1
围着	2
猎物	1
唱歌	3
跳舞	6
唱歌跳舞	1
鄂温克	2
鄂伦春	1
两个	43
人数	4
较少	2
野猪	1
搏斗	1
舞	8
纳	6
仁	6
呐	2
喜	2
约	11
德	10
呼兰	2
道	85
曲调	6
放在	16
口中	2
呼吸	1
弹动	1
出声	1
乐器	6
崩	1
努	1
刻	4
同样	43
处于	21
佤族	7
粗大	1
树干	3
刨成	1
木鼓	3
歌唱	7
必备	3
敲击	1
发出	9
强劲	5
节奏	19
参加	4
集体	21
步伐	1
一致	16
语言	157
韵律	2
声调	2
身体	13
动作	7
舞蹈	20
研	4
究家们	1
结合	48
一起	32
形式	145
毕歇尔	1
他说	7
初	9
相联	2
互相联系	1
三位一体	4
基本	63
组成	20
部分	61
组成部分	14
具有	132
从属	5
源泉	11
装饰	15
古老	7
之日	1
之时	5
绘身	3
